hyper_volume,gd,igd,spacing,cardinality,batch_size,mini_batch_size,test_iter,n_iter,n_init_samples,method
3849.065299945185,0.7607845673268192,16.713200177579036,37.895935695701105,6.0,10,5,10,20,0,cold start
5342.850522972659,2.555735430922586,4.864383416133959,16.103781691587358,12.6,10,5,10,20,0,cold start
5769.517882519266,4.08144717918055,4.032813679874101,11.526138073939595,17.1,10,5,10,20,0,cold start
5999.962116056054,4.6232250784960955,3.643140766260932,9.662227156438506,21.5,10,5,10,20,0,cold start
6163.748785496868,4.854082661089512,3.255721328484853,7.965619968794668,26.0,10,5,10,20,0,cold start
6247.636567500871,4.804837708088483,2.9676399958466844,6.665047606137776,29.5,10,5,10,20,0,cold start
6317.716432295079,4.8805119114001565,2.6757120215398054,5.725238953722911,34.1,10,5,10,20,0,cold start
6361.135517391458,5.065470382817468,2.51069902765877,5.002785907452092,37.4,10,5,10,20,0,cold start
6401.606589916911,5.19999907310408,2.376336682140117,4.54670367592472,40.2,10,5,10,20,0,cold start
6427.376468353609,5.225566644985996,2.255516380430015,4.144324999603866,43.9,10,5,10,20,0,cold start
6447.183585977336,5.21774774629436,2.1672092203062183,3.7077050468978525,47.7,10,5,10,20,0,cold start
6466.2816905818045,5.159477435583134,2.1112870215616275,3.489405034464147,52.0,10,5,10,20,0,cold start
6479.194972504256,5.18467449912796,2.052080831233708,3.240511789984366,56.0,10,5,10,20,0,cold start
6489.761641971958,5.153121347636798,2.0096327432595786,3.051621503053814,60.5,10,5,10,20,0,cold start
6498.735429447821,5.0815399145210005,1.962540654350417,2.954993542119032,65.0,10,5,10,20,0,cold start
6506.5920207188565,5.018771043500053,1.9224908180921303,2.825203545192273,68.9,10,5,10,20,0,cold start
6512.672327119588,5.042866857121463,1.895445480509311,2.567572688833846,72.3,10,5,10,20,0,cold start
6519.198452300465,5.049679371416809,1.8727239408661625,2.4719504526881098,76.1,10,5,10,20,0,cold start
6524.572411414575,4.983582118687812,1.8434741992683723,2.3881231351978625,80.0,10,5,10,20,0,cold start
6529.721615538074,5.045673309659653,1.8314418027813122,2.3287075492314084,82.9,10,5,10,20,0,cold start
