power,hatch_distance,fused
55.7,0.32,0
134.81,0.49,0
40.16,0.17,1
65.03,0.18,1
191.31,0.4,0
94.46,0.58,0
142.53,0.57,0
163.77,0.45,0
188.01,0.33,0
117.69,0.55,0
127.19,0.21,1
27.54,0.4,0
168.45,0.15,1
99.45,0.11,1
177.26,0.25,0
110.13,0.26,0
75.34,0.5,0
81.97,0.37,0
148.94,0.3,0
50.84,0.45,0
111.84,0.31,1
121.51,0.25,1
203.14,0.16,1
73.97,0.14,1
208.38,0.49,1
93.38,0.24,1
182.45,0.37,1
292.27,0.59,1
298.52,0.59,1
28.48,0.11,1
299.59,0.59,1
287.17,0.59,1
27.88,0.11,1
293.1,0.6,1
33.07,0.13,1
296.07,0.6,1
31.12,0.1,1
295.21,0.59,1
287.26,0.59,1
37.39,0.1,1
299.13,0.59,1
298.97,0.6,1
28.77,0.11,1
293.26,0.6,1
27.45,0.11,1
28.45,0.11,1
297.71,0.59,1
294.84,0.59,1
288.84,0.59,1
30.66,0.11,1
31.9,0.1,1
297.62,0.59,1
296.8,0.59,1
32.79,0.11,1
299.34,0.57,1
26.97,0.1,1
298.66,0.59,1
299.71,0.59,1
30.84,0.1,1
299.7,0.59,1
