power,hatch_distance,outline_power,fused,edge_clarity,label_visibility,surface_uniformity
55.7,0.32,25,0,0,0,0
134.81,0.49,39,0,0,0,0
40.16,0.17,53,1,0,0,0
65.03,0.18,67,1,0,0,0
191.31,0.4,81,0,0,0,0
94.46,0.58,95,0,0,0,0
142.53,0.57,109,0,0,0,0
163.77,0.45,123,0,0,0,0
188.01,0.33,137,0,0,0,0
117.69,0.55,151,0,0,0,0
127.19,0.21,165,1,0,0,0
27.54,0.4,179,0,0,0,0
168.45,0.15,193,1,0,0,0
99.45,0.11,207,1,0,0,0
177.26,0.25,221,0,0,0,0
110.13,0.26,235,0,0,0,0
75.34,0.5,249,0,0,0,0
81.97,0.37,263,0,0,0,0
148.94,0.3,277,0,0,0,0
50.84,0.45,291,0,0,0,0
111.84,0.31,209.29,1,4,1,3
121.51,0.25,228.36,1,4,1,5
203.14,0.16,176.24,1,1,1,1
73.97,0.14,198.83,1,3,1,8
208.38,0.49,212.76,1,4,1,6
93.38,0.24,219,1,3,1,6
182.45,0.37,160.89,1,7,1,6
292.27,0.59,26.11,1,5,1,7
298.52,0.59,275.09,1,4,1,2
28.48,0.11,26.82,1,9,10,10
299.59,0.59,33.02,1,8,8,8
287.17,0.59,290.64,1,4,1,2
27.88,0.11,297.22,1,1,1,9
293.1,0.6,291.75,1,4,1,3
33.07,0.13,27.25,1,10,9.2,9.3
296.07,0.6,29.87,1,7,7.5,8
31.12,0.1,27.85,1,8,9,9
295.21,0.59,287.06,1,3,1,3
287.26,0.59,32.67,1,9,7.5,9
37.39,0.1,296.39,1,2,1,7
299.13,0.59,296,1,7,1,3
298.97,0.6,28.94,1,10,5,8
28.77,0.11,299.95,1,3,1,8
293.26,0.6,27.05,1,6,5,8
27.45,0.11,31.37,1,10,9,9
28.45,0.11,29.01,1,10,9,9
297.71,0.59,37.2,1,9,2,9
294.84,0.59,32.97,1,6,5,8
288.84,0.59,297.23,1,3,1,3
30.66,0.11,25.38,1,9,10,10
31.9,0.1,299.39,1,3,1,7
297.62,0.59,295.32,1,3,1,3
296.8,0.59,34.58,1,7,5,8
32.79,0.11,293.64,1,3,1,7
299.34,0.57,26.71,1,9,3,8
26.97,0.1,295.92,1,3,1,7
298.66,0.59,294.63,1,3,1,3
299.71,0.59,295.37,1,3,1,3
30.84,0.1,36.48,1,9,10,10
299.7,0.59,292.75,1,3,1,3
