hyper_volume,gd,igd,spacing,cardinality,batch_size,mini_batch_size,test_iter,n_iter,n_init_samples,method
3.616165298,0.433735005,0.31630201,0.413776435,6.3,10,5,10,20,20,cold start
3.794847987,0.394673791,0.342290719,0.301221977,8.2,10,5,10,20,20,cold start
3.912578669,0.403456762,0.413043574,0.220367635,9.4,10,5,10,20,20,cold start
3.949356507,0.40111835,0.360815108,0.170674418,11.5,10,5,10,20,20,cold start
4.01217344,0.40214934,0.407727966,0.195567866,12.3,10,5,10,20,20,cold start
4.034234619,0.404427983,0.408900528,0.186099096,13.3,10,5,10,20,20,cold start
4.059716662,0.41223341,0.410918798,0.178623269,13.8,10,5,10,20,20,cold start
4.083842103,0.411095092,0.394695166,0.273140113,14.8,10,5,10,20,20,cold start
4.094384479,0.418117018,0.391641445,0.262135532,15.5,10,5,10,20,20,cold start
4.101005049,0.422910224,0.391656464,0.238271997,15.9,10,5,10,20,20,cold start
4.112815997,0.433982608,0.422112358,0.265924683,16.1,10,5,10,20,20,cold start
4.12571281,0.431672081,0.407584886,0.297543223,16.9,10,5,10,20,20,cold start
4.140389834,0.4469978,0.449679367,0.298935842,17,10,5,10,20,20,cold start
4.145431914,0.445007357,0.450384081,0.294794092,17.6,10,5,10,20,20,cold start
4.154543515,0.450790102,0.451623717,0.28719952,18,10,5,10,20,20,cold start
4.157980511,0.45267375,0.453113636,0.286409436,18.2,10,5,10,20,20,cold start
4.16021269,0.464750816,0.454798818,0.282846483,18.8,10,5,10,20,20,cold start
4.169536328,0.465992515,0.432654288,0.364020934,19.2,10,5,10,20,20,cold start
4.174568073,0.457312921,0.430129776,0.358999977,19.2,10,5,10,20,20,cold start
4.176870685,0.459251451,0.430124963,0.358589786,19.2,10,5,10,20,20,cold start
