hyper_volume,gd,igd,spacing,cardinality,batch_size,mini_batch_size,test_iter,n_iter,n_init_samples,method
3.610123874,0.301589901,0.448102325,0.393750168,5,10,5,10,20,20,warm start
3.767774264,0.433226247,0.51053738,0.30411911,6.6,10,5,10,20,20,warm start
3.858563052,0.420243565,0.489759677,0.312027916,8.3,10,5,10,20,20,warm start
3.900292953,0.418963348,0.385206675,0.352211219,9.9,10,5,10,20,20,warm start
3.936469045,0.399545399,0.358819429,0.299876372,10.7,10,5,10,20,20,warm start
3.970382115,0.391376782,0.357615176,0.290923592,11.9,10,5,10,20,20,warm start
4.008166296,0.394582725,0.312408415,0.300623862,13.7,10,5,10,20,20,warm start
4.022610646,0.385573606,0.298196265,0.218465837,14.1,10,5,10,20,20,warm start
4.041083285,0.388568868,0.289371071,0.229119697,14.9,10,5,10,20,20,warm start
4.051380234,0.394156363,0.297793298,0.233642626,15.3,10,5,10,20,20,warm start
4.076717537,0.383068491,0.301679349,0.234594203,16,10,5,10,20,20,warm start
4.095882432,0.390496527,0.296451162,0.233845676,16.1,10,5,10,20,20,warm start
4.106504911,0.40564638,0.285007247,0.25269564,16.5,10,5,10,20,20,warm start
4.112136314,0.400020624,0.284597007,0.246689285,17.5,10,5,10,20,20,warm start
4.120107451,0.399279571,0.275780223,0.242324904,17.9,10,5,10,20,20,warm start
4.122922968,0.402214961,0.276896401,0.235499888,18.2,10,5,10,20,20,warm start
4.126616542,0.41339235,0.292047692,0.238945328,17.9,10,5,10,20,20,warm start
4.135694285,0.412421109,0.295310945,0.230111397,18.1,10,5,10,20,20,warm start
4.140509807,0.412068171,0.280463924,0.235719335,17.9,10,5,10,20,20,warm start
4.145026046,0.415589098,0.280608986,0.23205648,18.4,10,5,10,20,20,warm start
