hyper_volume,gd,igd,spacing,cardinality,batch_size,mini_batch_size,test_iter,n_iter,n_init_samples,method
2.075693516,0.480438545,0.453704938,0.281437101,4.1,10,5,10,20,0,cold start
3.401179992,0.305884804,0.351395099,0.312901525,6.1,10,5,10,20,0,cold start
3.770753972,0.362481872,0.35769819,0.291750064,7.6,10,5,10,20,0,cold start
3.84852434,0.409344605,0.33868923,0.268202232,9.6,10,5,10,20,0,cold start
3.926895927,0.407334922,0.350288556,0.398656521,10.5,10,5,10,20,0,cold start
3.984454381,0.432362094,0.36410839,0.3604223,11.4,10,5,10,20,0,cold start
4.009833079,0.430731323,0.362662947,0.331744361,13.1,10,5,10,20,0,cold start
4.039203327,0.417763273,0.349002307,0.305676825,14,10,5,10,20,0,cold start
4.058023359,0.422555857,0.351942399,0.29770878,15.3,10,5,10,20,0,cold start
4.066688322,0.435286136,0.35153839,0.293899808,16.1,10,5,10,20,0,cold start
4.076422996,0.440140296,0.352241052,0.290482307,16.2,10,5,10,20,0,cold start
4.087066396,0.442373482,0.353887625,0.286214579,16.9,10,5,10,20,0,cold start
4.094790174,0.441045188,0.356141766,0.288997141,16.4,10,5,10,20,0,cold start
4.128923101,0.447725203,0.369234505,0.284836571,16.7,10,5,10,20,0,cold start
4.131717572,0.45066452,0.369199488,0.282499302,17.2,10,5,10,20,0,cold start
4.136891898,0.45169089,0.37022156,0.282997301,17.2,10,5,10,20,0,cold start
4.144811205,0.453826156,0.382723105,0.267856781,17.6,10,5,10,20,0,cold start
4.149614098,0.458560504,0.383390591,0.26388536,18,10,5,10,20,0,cold start
4.165350989,0.464542224,0.414607513,0.279038797,18,10,5,10,20,0,cold start
4.199837474,0.453361086,0.422974415,0.23992675,18.2,10,5,10,20,0,cold start
