hyper_volume,gd,igd,spacing,cardinality,batch_size,mini_batch_size,test_iter,n_iter,n_init_samples,method
2.717697879,0.549780058,0.48810884,0.514300226,4.1,10,5,10,20,0,embedding
3.779037105,0.410344416,0.416775876,0.393392935,7.3,10,5,10,20,0,embedding
3.85567363,0.417735814,0.419064846,0.313924684,8.6,10,5,10,20,0,embedding
3.923376523,0.392011317,0.341813964,0.309284545,10.2,10,5,10,20,0,embedding
3.949584282,0.398394268,0.343015838,0.308060424,11.3,10,5,10,20,0,embedding
3.981458222,0.400021818,0.376517616,0.350396272,11.6,10,5,10,20,0,embedding
4.007142241,0.409709406,0.38118247,0.346547659,12.4,10,5,10,20,0,embedding
4.024025269,0.410451888,0.380320932,0.350245103,13.9,10,5,10,20,0,embedding
4.033272406,0.414564514,0.380579993,0.343639518,14.4,10,5,10,20,0,embedding
4.049431992,0.420396624,0.380602719,0.329464374,15,10,5,10,20,0,embedding
4.053961052,0.421382908,0.381043126,0.322360256,15.4,10,5,10,20,0,embedding
4.062992049,0.430539412,0.381642265,0.322544358,15.9,10,5,10,20,0,embedding
4.091062482,0.434922222,0.440377614,0.292897256,15.6,10,5,10,20,0,embedding
4.097669509,0.439990268,0.441230449,0.283243838,16,10,5,10,20,0,embedding
4.107628793,0.448124853,0.435364506,0.278265296,16.6,10,5,10,20,0,embedding
4.1211151,0.457951785,0.471974028,0.324882446,15.8,10,5,10,20,0,embedding
4.125796341,0.45172633,0.471903495,0.320444151,15.8,10,5,10,20,0,embedding
4.137060723,0.453543879,0.48782145,0.267220456,16,10,5,10,20,0,embedding
4.149136016,0.456352531,0.480103079,0.256638672,16.6,10,5,10,20,0,embedding
4.151068048,0.455593002,0.480094311,0.252541074,17.2,10,5,10,20,0,embedding
