hyper_volume,gd,igd,spacing,cardinality,batch_size,mini_batch_size,test_iter,n_iter,n_init_samples,method
3.652240383,0.560588757,0.633192443,0.325801959,6.5,10,5,10,20,0,warm start
3.795969664,0.493160745,0.383234675,0.285832245,7.7,10,5,10,20,0,warm start
3.85246092,0.49980208,0.363880881,0.341312462,9.3,10,5,10,20,0,warm start
3.92731463,0.460212508,0.39267571,0.264812937,10.7,10,5,10,20,0,warm start
3.981503791,0.44561205,0.370645928,0.232009164,11.8,10,5,10,20,0,warm start
4.01835976,0.431965688,0.355632078,0.254922794,12.4,10,5,10,20,0,warm start
4.047164812,0.434309026,0.412542677,0.242056523,12.5,10,5,10,20,0,warm start
4.084409905,0.424063025,0.394649566,0.272856975,13.4,10,5,10,20,0,warm start
4.110509655,0.406804431,0.384067843,0.212659924,14.3,10,5,10,20,0,warm start
4.128474777,0.427180947,0.393900425,0.212554126,14.3,10,5,10,20,0,warm start
4.131778249,0.423392754,0.391638333,0.199352688,14.9,10,5,10,20,0,warm start
4.151611855,0.430691808,0.399842411,0.19402453,15,10,5,10,20,0,warm start
4.16556628,0.431811885,0.429416167,0.222666469,15.2,10,5,10,20,0,warm start
4.194073644,0.434603467,0.469756224,0.205382416,15.4,10,5,10,20,0,warm start
4.198288033,0.425109072,0.465074605,0.195094793,16.2,10,5,10,20,0,warm start
4.202437052,0.431960893,0.46771571,0.192651355,15.9,10,5,10,20,0,warm start
4.208503301,0.434737609,0.470330468,0.212391955,15.5,10,5,10,20,0,warm start
4.212797971,0.435605759,0.470002227,0.211627099,15.5,10,5,10,20,0,warm start
4.223058471,0.440624028,0.492375379,0.228002635,16.1,10,5,10,20,0,warm start
4.225619493,0.455905547,0.494904087,0.268311456,16.2,10,5,10,20,0,warm start
