,hatch_distance,outline_power,energy_density
fused,0.29688723327791633,0.0,0.39413648459940115
stability,0.3435353229310749,0.0,0.32140125186622154
edge_clarity,0.17580080642037715,0.8570185093970348,0.2572708187476542
label_visibility,0.31519748327554115,0.8291529783103735,0.3005495438741803
surface_uniformity,0.4537742434702507,0.700096617457961,0.39082330471684334
objective,0.35595405368133504,0.8916374809504863,0.3698043905189895
Young's modulus [MPa],0.28079404680071685,0.5060128595833304,0.2753709218781882
tensile strength [MPa],0.201604235940714,0.3174893311221674,0.4348465834571796
Elongation [%],0.29486089543570415,0.513766368202779,0.473869121769242
Edge measurement [mm],0.31096711217959505,0.20257449129946065,0.2980386330269277
