power,hatch_distance,outline_power,fused,objective,Young's modulus,tensile strength,Elongation,Edge measurement
55.7,0.32,0,0,0,0,0,0,1
134.81,0.49,0,0,0,0,0,0,1
40.16,0.17,0,1,6.7,371,5.9,7.5,0.12
65.03,0.18,0,1,6.3,404,4.7,4.9,0.11
191.31,0.4,0,0,0,0,0,0,1
94.46,0.58,0,0,0,0,0,0,1
142.53,0.57,0,0,0,0,0,0,1
163.77,0.45,0,0,0,0,0,0,1
188.01,0.33,0,0,0,0,0,0,1
117.69,0.55,0,0,0,0,0,0,1
127.19,0.21,0,1,5.2,74,1.1,2.5,1
27.54,0.4,0,0,0,0,0,0,1
168.45,0.15,0,1,7.9,449,5.8,5.2,0.24
99.45,0.11,0,1,8.3,1030,13.4,6.2,0.25
177.26,0.25,0,0,0,0,0,0,1
110.13,0.26,0,0,0,0,0,0,1
75.34,0.5,0,0,0,0,0,0,1
81.97,0.37,0,0,0,0,0,0,1
148.94,0.3,0,0,0,0,0,0,1
50.84,0.45,0,0,0,0,0,0,1
111.84,0.31,209.29,1,4.9,727.1,13.2,5.7,0.15
121.51,0.25,228.36,1,5.5,446.1,13.3,6.2,0.1
203.14,0.16,176.24,1,3.7,0,0,0,0.12
73.97,0.14,198.83,1,6.2,804.3,13.7,5.8,0.15
208.38,0.49,212.76,1,5.8,603.3,13.7,6.5,0.08
93.38,0.24,219,1,5.6,632,13.6,6.3,0.1
182.45,0.37,160.89,1,6.4,767.8,14,5.9,0.22
292.27,0.59,26.11,1,6.3,494.2,13.1,6.7,0.1
298.52,0.59,275.09,1,4.6,477,12.4,6.4,0.16
28.48,0.11,26.82,1,9.8,852.3,10.6,5.9,0.2
299.59,0.59,33.02,1,8,875.2,11.7,6.5,0.17
287.17,0.59,290.64,1,4.6,340.5,13.1,7.1,0.12
27.88,0.11,297.22,1,6.1,254.5,12.9,7.4,0.01
293.1,0.6,291.75,1,4.9,473.6,13,6.4,0.1
33.07,0.13,27.25,1,9.63,908.2,11.8,6,0.15
296.07,0.6,29.87,1,8.2,1000.1,12.1,6,0.01
31.12,0.1,27.85,1,9.1,870.3,10.9,5.5,0.22
295.21,0.59,287.06,1,4.7,433.7,12.7,6.8,0.01
287.26,0.59,32.67,1,8,574.7,12.1,10.7,0.14
37.39,0.1,296.39,1,5.7,788.2,13.1,5.3,0.15
299.13,0.59,296,1,5.5,630.9,12.1,5.1,0.14
298.97,0.6,28.94,1,8.4,1060.2,11.5,5.6,0.05
28.77,0.11,299.95,1,6.2,664.8,13.7,5.6,0.09
293.26,0.6,27.05,1,7.6,1034.1,11.9,6,1
27.45,0.11,31.37,1,9.5,669.2,9.9,5.4,0.4
28.45,0.11,29.01,1,9.5,476.7,12.2,6,0.15
297.71,0.59,37.2,1,7.9,733.2,12.3,5.6,0.1
294.84,0.59,32.97,1,7.6,755.1,11.9,6.1,0.11
288.84,0.59,297.23,1,4.7,127.3,11.1,8.4,0.28
31.9,0.1,299.39,1,5.9,134.6,12.8,8.2,0.2
297.62,0.59,295.32,1,4.7,109.8,10.5,8.5,0.18
296.8,0.59,34.58,1,7.8,619.1,10.8,6,0.14
32.79,0.11,293.64,1,5.9,178.8,12.8,7.6,0.21
299.34,0.57,26.71,1,7.8,753.9,12.1,5.8,0.2
26.97,0.1,295.92,1,5.9,81.5,11.5,9.5,0.11
298.66,0.59,294.63,1,4.7,137.3,10.7,7.9,0.25
299.71,0.59,295.37,1,4.7,120.9,10.3,8,0.24
299.7,0.59,292.75,1,4.7,80,10.9,9.9,0.25
30.837,0.101,36.483,1,0,834.9,12.6,5.6,0.16
33.077,0.132,27.251,1,0,824.2,11.7,5.8,0.2
31.118,0.1,27.853,1,0,867.5,12.7,5.8,0.05
27.448,0.105,31.37,1,0,728.2,11.8,5.7,0.2
30.838,0.6,36.414,1,0,0,0,0,1
30.829,0.101,36.473,1,0,4.9,12.5,5.9,0.13
27.447,0.6,31.371,1,0,0,0,0,1
30.842,0.101,36.47,1,0,797.8,12.6,6.2,0.3
33.071,0.128,27.247,1,0,672,12,5.7,0.38
28.449,0.275,29.005,1,0,0,0,0,1
28.483,0.109,25.951,1,0,733.4,12.1,6.3,0.15
33.06,0.6,27.248,1,0,0,0,0,1
33.071,0.128,27.254,1,0,577.1,9.4,6,0.54
33.061,0.111,25.957,1,0,815.3,12.1,5.9,0.09
28.48,0.109,25.951,1,0,573.5,12.2,5.9,0.09
28.477,0.109,25.951,1,0,757.6,11.9,6.1,0.42
28.482,0.109,25.951,1,0,777.6,11.5,5,0.6
28.454,0.113,29.011,1,0,863.5,12.6,5.9,0.1
27.452,0.105,31.375,1,0,823.6,12.5,5.4,0.15
30.839,0.1,38.684,1,0,791.7,12.5,6.2,0.38
