sample_id,power,hatch_distance,outline_power,energy_density,temperature,layer_thickness,geometry_length,geometry_width,fused,stability,edge_clarity,label_visibility,surface_uniformity,objective,Young's_modulus,tensile_strength,Elongation,Edge_measurement
1,55.7,0.32,0,11.45,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
2,134.81,0.49,0,18.1,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
3,40.16,0.17,0,15.54,128,0.1,40,20,1,4,9,8,7,6.7,371,5.9,7.5,0.12
4,65.03,0.18,0,23.77,128,0.1,40,20,1,3,8,7,8,6.3,404,4.7,4.9,0.11
5,191.31,0.4,0,31.47,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
6,94.46,0.58,0,10.71,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
7,142.53,0.57,0,16.45,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
8,163.77,0.45,0,23.94,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
9,188.01,0.33,0,37.48,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
10,117.69,0.55,0,14.08,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
11,127.19,0.21,0,39.85,128,0.1,40,20,1,1,7,7,7,5.2,74,1.1,2.5,0
12,27.54,0.4,0,4.53,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
13,168.45,0.15,0,73.88,128,0.1,40,20,1,6,8,9,9,7.9,449,5.8,5.2,0.24
14,99.45,0.11,0,59.48,128,0.1,40,20,1,8,7,9,9,8.3,1030,13.4,6.2,0.25
15,177.26,0.25,0,46.65,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
16,110.13,0.26,0,27.87,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
17,75.34,0.5,0,9.91,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
18,81.97,0.37,0,14.58,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
19,148.94,0.3,0,32.66,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
20,50.84,0.45,0,7.43,128,0.1,40,20,0,0,0,0,0,0,0,0,0,1
21,111.84,0.31,209.29,23.74,128,0.1,40,40,1,10,4,1,3,4.9,727.1,13.2,5.7,0.15
22,121.51,0.25,228.36,31.98,128,0.1,40,40,1,10,4,1,5,5.5,446.1,13.3,6.2,0.1
24,73.97,0.14,198.83,34.76,128,0.1,40,40,1,10,3,1,8,6.2,804.3,13.7,5.8,0.15
25,208.38,0.49,212.76,27.98,128,0.1,40,40,1,10,4,1,6,5.8,603.3,13.7,6.5,0.08
26,93.38,0.24,219,25.6,128,0.1,40,40,1,10,3,1,6,5.6,632,13.6,6.3,0.1
27,182.45,0.37,160.89,32.44,128,0.1,40,40,1,10,7,1,6,6.4,767.8,14,5.9,0.22
28,292.27,0.59,26.11,32.59,128,0.1,40,40,1,10,5,1,7,6.3,494.2,13.1,6.7,0.1
29,298.52,0.59,275.09,33.29,128,0.1,40,40,1,10,4,1,2,4.6,477,12.4,6.4,0.16
30,28.48,0.11,26.82,17.03,128,0.1,40,40,1,10,9,10,10,9.8,852.3,10.6,5.9,0.2
31,299.59,0.59,33.02,33.41,128,0.1,40,40,1,10,8,8,8,8,875.2,11.7,6.5,0.17
32,287.17,0.59,290.64,32.02,128,0.1,40,40,1,10,4,1,2,4.6,340.5,13.1,7.1,0.12
33,27.88,0.11,297.22,16.67,128,0.1,40,40,1,10,1,1,9,6.1,254.5,12.9,7.4,0.01
34,293.1,0.6,291.75,32.14,128,0.1,40,40,1,10,4,1,3,4.9,473.6,13,6.4,0.1
